dataset,target_size,algorithm,time,metric1,metric2,selected_features
indian_pines,5,spa,18.95,0.5,0.43,0-56-60-86-146||0-2-56-86-88||0-2-56-86-88||0-1-56-60-148||0-56-60-86-146||0-56-60-86-146||0-2-56-86-88||0-56-60-86-146||0-56-60-86-146||0-56-60-86-146
indian_pines,10,spa,35.36,0.49,0.42,0-35-60-74-86-89-103-148-198-199||0-2-56-60-86-88-103-143-198-199||0-34-60-74-86-89-103-146-198-199||0-2-56-60-86-88-103-143-198-199||0-35-60-74-86-89-103-148-198-199||0-34-60-74-86-89-103-146-198-199||0-35-60-74-86-89-103-148-198-199||0-2-59-60-74-89-90-103-146-199||0-34-60-74-86-89-103-146-198-199||0-34-60-74-83-86-89-103-146-198
indian_pines,15,spa,51.64,0.49,0.42,0-34-39-60-74-86-87-89-102-103-104-143-144-198-199||0-34-56-60-74-83-86-89-102-103-143-144-146-198-199||0-34-56-60-74-83-86-89-102-103-143-144-146-198-199||0-34-56-60-74-83-86-89-102-103-143-144-146-198-199||0-34-56-60-74-83-86-89-102-103-143-144-150-198-199||0-34-56-60-74-83-86-89-102-103-143-144-150-198-199||0-34-56-60-74-83-86-89-102-103-143-144-150-198-199||0-34-56-60-74-83-86-89-102-103-143-144-146-198-199||0-34-56-60-74-83-86-89-102-103-143-144-150-198-199||0-34-56-60-74-83-86-88-102-103-104-143-144-146-198
indian_pines,20,spa,70.03,0.52,0.45,0-34-39-56-60-74-87-89-90-93-97-102-103-104-143-144-145-148-198-199||0-3-34-56-59-60-74-88-89-90-93-102-103-104-143-144-145-197-198-199||0-3-34-56-59-60-74-75-89-90-93-102-103-104-143-144-145-197-198-199||0-2-29-34-39-56-60-74-83-86-88-89-102-103-104-143-144-145-198-199||0-4-34-39-56-60-74-84-89-90-92-102-103-104-143-144-145-197-198-199||0-2-29-34-39-56-60-74-83-86-88-90-102-103-104-143-144-145-198-199||0-4-34-39-56-60-74-84-89-90-92-102-103-104-143-144-145-197-198-199||0-2-34-56-59-60-74-75-89-90-93-102-103-104-143-144-145-146-198-199||0-4-34-39-56-60-74-84-89-90-92-102-103-104-143-144-145-197-198-199||0-2-34-56-59-60-74-75-88-89-90-93-102-103-104-143-144-145-146-198
indian_pines,25,spa,85.4,0.54,0.47,0-2-29-34-56-60-61-74-75-83-87-88-89-90-93-102-103-104-105-143-144-145-197-198-199||0-2-29-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199||0-2-30-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199||0-2-29-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199||0-2-29-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199||0-2-29-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199||0-2-30-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199||0-2-34-39-56-59-60-74-75-83-86-88-89-90-93-102-103-104-143-144-145-146-197-198-199||0-2-30-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199||0-1-29-34-36-56-60-61-74-75-83-84-86-88-89-90-102-103-104-143-144-145-147-197-198
indian_pines,30,spa,101.11,0.57,0.51,0-1-12-29-34-39-56-59-60-61-74-75-83-86-87-88-89-90-93-102-103-104-105-143-144-145-195-197-198-199||0-1-2-29-33-34-39-56-60-61-74-75-83-84-85-86-88-89-90-102-103-104-105-143-144-145-195-197-198-199||0-1-12-29-33-34-39-56-59-60-61-74-75-83-86-88-89-90-93-102-103-104-105-143-144-145-195-197-198-199||0-1-12-29-33-34-39-56-59-60-61-74-75-83-86-88-89-90-93-102-103-104-105-143-144-145-195-197-198-199||0-1-2-28-34-39-56-60-61-74-75-83-84-86-88-89-90-93-100-102-103-104-105-143-144-145-195-197-198-199||0-1-3-29-33-34-39-56-60-61-74-75-82-84-86-88-89-90-92-102-103-104-105-143-144-145-195-197-198-199||0-1-29-33-34-39-56-60-61-74-75-83-84-86-88-89-90-92-102-103-104-105-143-144-145-148-195-197-198-199||0-1-2-29-34-39-56-59-60-61-74-75-83-86-88-89-90-93-102-103-104-105-143-144-145-146-195-197-198-199||0-1-29-33-34-39-56-60-61-74-75-83-86-88-89-90-93-98-102-103-104-105-143-144-145-148-195-197-198-199||0-1-2-29-33-34-36-56-60-61-74-75-83-84-86-88-89-90-93-102-103-104-105-143-144-145-147-195-197-198
ghsi,5,spa,7.24,0.63,0.48,1-24-29-48-102||1-24-29-48-102||1-24-29-48-102||1-27-46-71-112||1-24-29-48-102||1-24-29-48-102||1-24-29-48-102||1-24-29-48-102||1-24-29-48-102||1-24-29-48-102
ghsi,10,spa,12.78,0.7,0.58,1-11-24-28-32-48-61-71-101-102||1-11-24-29-33-48-71-76-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130
ghsi,15,spa,20.98,0.74,0.63,1-11-24-28-33-45-48-55-62-70-76-91-102-126-130||1-11-24-28-32-48-49-55-62-71-76-89-102-126-130||1-11-24-28-32-48-49-55-62-71-76-91-102-126-130||1-11-24-28-32-48-49-55-62-71-76-89-102-126-130||1-11-24-28-32-48-49-55-62-71-76-89-102-126-130||1-11-24-28-33-45-48-55-62-70-76-89-102-126-130||1-11-24-28-32-48-49-55-62-71-76-89-102-126-130||1-11-24-28-32-45-48-51-62-70-76-89-102-126-130||1-11-24-28-33-45-48-55-62-70-76-89-102-126-130||1-11-24-28-32-45-48-51-62-70-76-89-102-126-130
ghsi,20,spa,23.53,0.74,0.63,0-1-5-11-25-28-33-46-48-49-55-62-71-76-91-102-109-117-126-130||0-1-5-11-24-28-33-45-48-56-64-71-76-89-102-109-117-126-128-130||0-1-5-11-24-28-31-39-45-48-55-62-71-76-89-102-109-117-126-130||0-1-11-24-28-32-45-48-50-61-62-71-76-89-102-109-117-126-128-130||0-1-6-11-25-28-33-46-48-49-55-62-71-76-89-102-109-117-126-130||0-1-6-11-24-28-32-45-48-50-61-62-71-76-89-102-109-117-126-130||0-1-5-11-23-28-33-46-48-49-55-62-71-76-89-102-109-117-126-130||0-1-5-11-24-28-31-39-45-48-55-62-71-76-89-102-109-117-126-130||0-1-5-11-24-28-32-45-48-55-61-62-71-76-89-102-109-117-126-130||0-1-6-11-24-28-32-45-48-50-61-62-71-76-89-102-109-117-126-130
ghsi,25,spa,27.95,0.74,0.63,0-1-5-11-24-28-33-45-48-50-56-62-71-75-77-89-101-102-106-110-117-121-126-128-130||0-1-5-11-24-28-33-45-48-50-56-64-71-76-77-89-101-102-109-117-121-124-126-128-130||0-1-5-11-23-28-33-46-48-49-50-55-61-62-71-76-77-91-102-109-117-121-126-128-130||0-1-5-11-23-28-33-46-48-49-50-55-61-62-71-76-77-89-102-109-117-121-126-128-130||0-1-5-11-23-28-33-46-48-49-50-55-61-62-71-76-77-89-102-109-117-121-126-128-130||0-1-5-11-25-28-33-46-48-49-50-55-61-62-71-76-77-89-102-109-117-121-126-128-130||0-1-5-11-23-28-33-46-48-49-50-55-61-62-71-76-77-89-102-109-117-121-126-128-130||0-1-6-11-25-28-33-46-48-49-50-55-61-62-71-76-77-89-102-109-117-121-126-128-130||0-1-5-11-25-28-33-46-48-49-50-55-61-62-71-76-77-89-102-109-117-121-126-128-130||0-1-5-11-25-28-33-46-48-49-50-55-61-62-71-76-77-89-102-109-117-121-126-128-130
ghsi,30,spa,33.3,0.74,0.63,0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-117-121-124-126-128-130||0-1-5-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-117-121-124-126-128-130||0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-117-121-124-126-128-130||0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-116-121-124-126-128-130||0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-116-121-124-126-128-130||0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-117-121-124-126-128-130||0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-117-121-124-126-128-130||0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-117-121-124-126-128-130||0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-117-121-124-126-128-130||0-1-6-11-24-28-32-45-48-49-50-55-58-62-67-71-76-77-89-101-102-106-109-112-116-121-124-126-128-130
