algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,21782,4200,433.39,2,2,0.85,0.56,0.51,0.05,0.09,0.1,418;417
mi,21782,4200,430.03,5,5,0.85,0.55,0.51,0.05,0.09,0.1,418;417;437;438;439
mi,21782,4200,428.73,10,10,0.85,0.55,0.51,0.05,0.09,0.1,418;417;437;438;439;419;436;416;379;415
mi,21782,4200,428.98,15,15,0.85,0.68,0.64,0.05,0.08,0.08,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449
mi,21782,4200,431.29,20,20,0.85,0.7,0.65,0.05,0.08,0.08,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449;413;414;371;457;421
lasso,21782,4200,1.38,2,2,0.85,0.21,0.21,0.05,0.12,0.13,4199;1410
lasso,21782,4200,1.39,5,5,0.85,0.23,0.23,0.05,0.12,0.12,4199;1410;1408;1407;1406
lasso,21782,4200,1.42,10,10,0.85,0.21,0.21,0.05,0.12,0.13,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401
lasso,21782,4200,1.5,15,15,0.85,0.22,0.22,0.05,0.12,0.12,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396
lasso,21782,4200,1.4,20,20,0.85,0.21,0.21,0.05,0.12,0.13,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396;1395;1394;1393;1392;1391
fscr,21782,4200,60.26,2,2,0.85,0.62,0.57,0.05,0.08,0.09,342;2408
fscr,21782,4200,86.77,5,5,0.85,0.83,0.83,0.05,0.06,0.06,401;1406;2023;2325;3461
fscr,21782,4200,131.46,10,10,0.85,0.84,0.83,0.05,0.06,0.06,436;1152;1545;1921;1922;2020;2132;2980;3444;3801
fscr,21782,4200,202.12,15,15,0.85,0.86,0.87,0.05,0.05,0.05,425;972;1145;1909;1925;1932;2006;2017;2122;2129;2299;2977;3444;3615;3805
fscr,21782,4200,237.08,20,19,0.85,0.86,0.86,0.05,0.05,0.05,422;831;1135;1593;1791;1910;1922;1923;1934;2020;2132;2133;2143;2975;2980;3409;3416;3747;3749
sfs,21782,4200,60.95,2,2,0.85,0.72,0.69,0.05,0.07,0.08,412;993
sfs,21782,4200,215.69,5,5,0.85,0.83,0.83,0.05,0.06,0.06,412;993;2986;3631;3820
sfs,21782,4200,625.32,10,10,0.85,0.85,0.85,0.05,0.05,0.06,151;412;903;993;2986;3259;3446;3631;3820;4199
sfs,21782,4200,1209.21,15,15,0.85,0.87,0.87,0.05,0.05,0.05,151;412;903;993;2986;3126;3187;3259;3446;3550;3631;3786;3820;3830;4199
sfs,21782,4200,2126.09,20,20,0.85,0.86,0.86,0.05,0.05,0.05,151;412;903;993;2906;2986;3002;3126;3148;3187;3259;3391;3446;3550;3631;3770;3786;3820;3830;4199
